Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.032918,-3.976E-09,0.031401,0,0,0,0.99827,0.0011895,-3.5359E-12,-5.9492E-05,0.0023816,-6.1682E-11,0.0028249,0,0,0,0,0,0,package://PAR6_MSG/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/base_link.STL,,main_base_URDF-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder,0.0065681,0.029094,0.099551,0,0,0,0.6209,0.0010066,-6.2658E-05,-5.9491E-05,0.00054695,-0.00013311,0.0011908,0,0,0,0,0,0,package://PAR6_MSG/meshes/shoulder.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/shoulder.STL,,Assem5^PACKAssem1-1,Coordinate System1,Axis41,shoulder_JOINT,revolute,0,0,0,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
upper_arm,-0.00854934366236774,-0.0713421424494266,0.0416391335881897,0,0,0,0.564255649327409,0.00161401505877107,-2.3762413487102E-05,-1.23771305810395E-05,0.000283296701166046,-0.000134635985563592,0.00163917151493148,0,0,0,0,0,0,package://PAR6_MSG/meshes/upper_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/upper_arm.STL,,Assem8^PACKAssem1-1,Coordinate System2,Axis42,upper_arm_JOINT,revolute,0.023421,0,0.1105,-1.5708,0,0,shoulder,0,0,1,0,0,0,0,,,,,,,,
elbow,0.0155509885239591,-0.0191127686426609,-0.00153322577917109,0,0,0,0.550970997806044,0.00057827573271994,0.000116505232322314,-1.19955293256511E-05,0.000567011676944701,1.55814255036018E-05,0.000815862001506842,0,0,0,0,0,0,package://PAR6_MSG/meshes/elbow.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/elbow.STL,,Assem1^PACKAssem1-1,Coordinate System3,Axis43,elbow_JOINT,revolute,0,-0.18,0,3.1416,0,-1.5708,upper_arm,0,0,-1,0,0,0,0,,,,,,,,
lower_arm,0.00052733545462913,-0.0101658497051327,-0.092592661871092,0,0,0,0.382768168076152,0.000383809752758758,-5.71777005742457E-06,-1.13435862343116E-06,0.000324613577491974,-6.4819470273156E-05,0.000252488975982478,0,0,0,0,0,0,package://PAR6_MSG/meshes/lower_arm.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/lower_arm.STL,,Assem2^PACKAssem1-1,Coordinate System4,Axis44,lower_arm_JOINT,revolute,0.0435,0,0,1.5708,0,-3.1416,elbow,0,0,-1,0,0,0,0,,,,,,,,
wrist,-1.54606600299978E-06,-0.00314847566621401,0.000193929742576537,0,0,0,0.230864625594321,0.000180829695434151,-4.63392548722638E-10,-6.79284338617399E-09,0.000106212288444716,2.87958450952462E-06,0.000175598200731164,0,0,0,0,0,0,package://PAR6_MSG/meshes/wrist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/wrist.STL,,wrist_small_NEMA_URDF-1;stepper_lid_wrist_URDF-1,Coordinate System5,Axis45,wrist_JOINT,revolute,0,0,-0.177,-1.5708,0,0,lower_arm,0,0,1,0,0,0,0,,,,,,,,
gripper,-0.00642470048892452,0.000282668798476604,-0.0695192335056825,0,0,0,0.167623200457379,0.000140871735417615,-9.82778432876682E-07,-2.72691487145471E-06,2.45392416247037E-05,-2.78909378823719E-07,0.00013036472950858,0,0,0,0,0,0,package://PAR6_MSG/meshes/gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/gripper.STL,,Minimal_MSG_gripper_assembly-1/MSG_Gripper_body_150mm-1;Minimal_MSG_gripper_assembly-1/linearguide_150mm-1;Minimal_MSG_gripper_assembly-1/17HS08-1004S-1;Minimal_MSG_gripper_assembly-1/jaw_blocker-2;Minimal_MSG_gripper_assembly-1/camera_lid-1;Minimal_MSG_gripper_assembly-1/camera extension-1;Minimal_MSG_gripper_assembly-1/connectorFemaleFlange-1;Minimal_MSG_gripper_assembly-1/OV9732_camera-1;Minimal_MSG_gripper_assembly-1/jaw_blocker-1;Minimal_MSG_gripper_assembly-1/connector_lid-1;Minimal_MSG_gripper_assembly-1/stepper_gripper_cover_CAMERA-1;Minimal_MSG_gripper_assembly-1/MGN7C-1;Minimal_MSG_gripper_assembly-1/MGN7C-2;Minimal_MSG_gripper_assembly-1/ring_cover-1,Coordinate System6,Axis46,gripper_JOINT,revolute,0,0,0,1.5708,0,0,wrist,0,0,-1,0,0,0,0,,,,,,,,
jaw1,0.0016848,-0.059152,-0.053962,0,0,0,0.029716,1.6103E-05,-7.2708E-07,-3.0541E-07,1.0704E-05,1.5599E-06,6.9629E-06,0,0,0,0,0,0,package://PAR6_MSG/meshes/jaw1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/jaw1.STL,,Minimal_MSG_gripper_assembly-1/JAW_150_MIRROR-1;Minimal_MSG_gripper_assembly-1/MSG_JAW_TPU_MIRROR-1,Coordinate System8,Axis47,joint_jaw1,prismatic,0.02835,0,-0.1409,-3.1416,0,3.1416,gripper,0,-1,0,0,0,0,0,,,,,,,,
jaw2,0.0016605,0.059282,-0.050421,0,0,0,0.029666,1.5883E-05,7.0874E-07,-9.1991E-07,1.0699E-05,4.7157E-07,6.7442E-06,0,0,0,0,0,0,package://PAR6_MSG/meshes/jaw2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://PAR6_MSG/meshes/jaw2.STL,,Minimal_MSG_gripper_assembly-1/MSG_JAW_TPU-3;Minimal_MSG_gripper_assembly-1/JAW_150MM-1,Coordinate System8,Axis47,joint_jaw2,prismatic,0.02835,0,-0.1409,-3.1416,0,3.1416,gripper,0,-1,0,0,0,0,0,,,,,,,,
